Date,AO,AAO,NAO,PNA
2021-08-01,-0.2093,-0.2268,-0.2825,0.9547
2021-09-01,-0.2516,1.3364,-0.2137,0.4433
2021-10-01,-0.1458,0.4532,-2.2899,1.134
2021-11-01,0.093,1.3211,-0.1846,0.7215
2021-12-01,0.1981,2.1548,0.2885,-2.5584
2022-01-01,0.8483,0.8252,1.0778,1.0093
2022-02-01,1.5444,0.6432,1.683,0.6577
2022-03-01,0.3052,0.5584,0.7677,0.1348
2022-04-01,-0.6026,0.5319,-0.3646,-0.735
2022-05-01,1.2235,0.0965,0.7062,-0.8263
2022-06-01,-0.0742,-0.8713,-0.118,-0.3128
2022-07-01,0.0249,0.4467,-0.0936,2.5404
2022-08-01,-0.17,0.7313,1.4699,0.7893
2022-09-01,-0.6552,1.4685,-1.6105,0.2093
2022-10-01,1.3457,0.3303,-0.7175,0.1662
2022-11-01,0.3389,1.7134,0.6922,-0.7341
2022-12-01,-2.7192,1.7004,-0.1456,-0.662
2023-01-01,-0.6743,2.3037,1.2503,0.2148
2023-02-01,1.6004,0.5536,0.9227,-0.64
2023-03-01,0.2803,-0.2582,-1.1088,-1.6341
2023-04-01,-0.9731,-0.9207,-0.6284,-0.4242
2023-05-01,1.1343,1.4518,0.3864,-0.8575
2023-06-01,-0.2862,-0.4379,-0.5784,0.687
2023-07-01,-0.1545,-0.8183,-2.1746,1.1454
